Nama Perusahaan,Alamat,Kawasan/Kecamatan
PT.  DENSO INDONESIA,"CORP, , , Jl. Kalimantan  Blok E1-2, MM2100 Cibitung, , , , 53., PT.  FEDERAL NITTAN, INDUST., , , KI MM2100 Blok F No. 4, Cikarang Barat - Bekasi, , , 54., PT.  FILTECH INDONESIA, , , , , KI. MM2100 Blok JJ No. 3 - 1, Cikarang Barat - Bekasi, , 55., PT.  ICHIKOH INDONESIA, , , , KI. MM2100 Blok LL No. 1, Cikarang Barat - Bekasi, , 56., PT.  KAYABA INDONESIA, , , , Jl. Jawa Blok II/4 Cibitung,, Cikarang Barat - Bekasi, , 57., PT.  LIPPO MELCO AUTO",MM2100
PT.  MORIC INDONESIA,", , KI. MM2100 Blok KK No. 2-3-, 4 Cikarang Barat – Bekasi, , 59., PT.  NUSA TOYOTETSU, CORP",MM2100
PT.  PROGRESS TOYO IND,", , KI. MM2100 Blok  H4 No. 3, Cibitung, , 61., PT.  SEIWA INDONESIA, , , KI. MM2100 Blok M2 No. 2, Cikarang Barat – Bekasi, , 62., PT.  SEKISO INDUSTRIES, IND.",MM2100
PT.  SUGITY CREATIIVES,", , , MM2100 Industrial Town Blok, J18 Cibitung – Bekasi, , 64., PT.",MM2100
PT.,", YUTAKA, MANUFAKTURING, IND, KI. MM2100 Jl., Sulawesi I Blok H4 Cikarang, Barat – Bekasi, , 66., PT.  DUTA LASERINDO, METAL",MM2100
PT.,", HIT, ELECTRONIC, INDONESIA, , Jl. Kruing II Blok L9 - 9,10 / D., Silicon, Cikarang Selatan –, Bekasi, , 68.",Cikarang Selatan
PT.,", HITACHI, CHEMICAL.EL.PROD.IND, , , Jl. Palem II Blok DS - 12 / B., Techno, Cikarang Selatan –, Bekasi, , 69.",Cikarang Selatan
PT.  INDONESIA NISSIN,"KHOKI, Delta Silicon, Jl.Meranti 3 L8-6A Cikarang, Selatan, , 70., PT., , TOYOLAS, TECHNOLOGY INDONESIA, , , Jl. Trembesi/ KI. Delta Silicon, II  Blok F5 No. 9, Cikarang, Pusat – Bekasi",Delta Silicon
PT.,", YONG, HWA, INDONESIA, , Jl. Akasia III Blok A6 - 7 / D., Silicon, Cikarang Selatan –, Bekasi, , 72.",Cikarang Selatan
PT.,", DAESUNG, ELECTRONIC, INDOENSIA, , , KI. BIIE. Hyundai Blok C2 No., 10 Lemahabang, , 73., PT.  GALVA KAMI INDUSTRI, , , KI. BIIE. Hyundai Blok C No., 5-6, Cikarang, Selatan, –, Bekasi, , 74., PT.",Bekasi
PT.,", SHIN, HEUNG, INDONESIA, , KI. Hyundai Blok C3 No. 1, Lemahabang, , 76., PT.  WHA IN, Jl. Inti III Blok C6 No. 10, Cikarang Selatan – Bekasi, , 77., PT.  BANDO ELEKTRONIK, IND.",Cikarang Selatan
PT.,", DONGYANG, ELECTRONIC, IND., KI. MM2100 Blok, I No. 2-3 Cibitung, , 79., PT.  HAENGSUNG RAYA, INDUSTRIAL, , Jl. Sumbawa / KI. MM2100, Blok F1 No. 2, Cikarang Barat, – Bekasi, , 80.",MM2100
PT.  INS TECHNOLOGY,"INDONESIA, , KI. MM2100 Blok G, Cikarang, Barat – Bekasi, , 81., PT., MANDIRI",MM2100
PT.,"CIKARANG, NUSANTARA, Jl. Patikarna wangunharja,, Cikarang Utara, Kab. Bekasi, , 83., CV., MENEMBUS, BATAS, LANGIT, , Jl., Pamahan, simpangan,, Cikarang Utara, Kab. Bekasi, , 84., BERKAH LANGGENG JAYA, , , Kp. Cibuntu asem No. 73,, Cibuntu,, Cibitung,, Kab., Bekasi, , 85., PT. ANSORI JAYA, , Jl. Raya Ciantra, Cikarang, Selatan, Kab. Bekasi, , 86., PT. HAROSA DN, , Jl., Jayamukti,, Cikarang, Pusat, Kab. Bekasi, , 87., PT. CHOLYFOUR MITRA, MANDIRI, , Jl., Raya, Citarik, lama,, Cikarang Utara, Kab. Bekasi, , 88., PT. RUSLY JAGAT UTAMA, , , Jl., Jayamukti,, Cikarang, Pusat, Kab. Bekasi, , 89., PT., KOMALA, AGUNG, LANGGENG, , Jl., Raya-Serang, setu,, Cikarang, selatan,, Kab., Bekasi, , 90., PT. PUTRA SELANG JAYA, , , Jl. Bosih raya No. 161,, Wanasari,, Cibitung,, Kab., Bekasi, , , , R A H A S I A, , , R A H A S I A, 57, , 1, 2, 3, 4, 91., PT. SINAR AGUNG KREASI, , , Jl. Raya serang, Cikarang, selatan, Kab. Bekasi, , 92., PT. HORAS MIDUK, , Jl. Inspeksi Kalimalang, Pasir, sari, Cikarang Selatan, Kab., Bekasi, , 93., CV BAROKAH, Jl. Bah kilong, Sukasari,, Serang baru, Kab. Bekasi, , 94., PT., SEGARA, WAJA, SEJAHTERA, , Jl., Jatiwangi,, Jatiwangi,, Cikarang Barat, Kab. Bekasi, , , , f., Perdagangan Jasa, , NO, NAMA, ALAMAT / NO. TLP., KET., 1, 2, 3",Cikarang Barat
PT.,"AUSDOC, GEOSERVICES, INDONESIA, Jl. Industri Utara I Blok, SS 12,13,15 Cikarang, Utara - Bekasi, Jasa, Pengelolaan, Arsip, 2., PT.AWANA PLASINDO  Jl. Pisangan Ds. Satria, Jaya - Tambun - Bekasi, Jasa untuk bungkus, elektronik, 3., PT.BAKRI DIA, ENGINEERING, KI. MM2100 Blok D No. 1, Cibitung, Jasa Kontruksi, 4., PT BUSFIMAC INDO, JL. JABABEKA II BLOK C, III B, Jasa Pergudangan, 5., PT CAHAYA PRIMA, SENTOSA, Jl. Inti Raya / KI. BIIE., Hyundai Blok C1 - 19,, Cikarang, Jasa, Ekspor",Jababeka
PT,"CAHAYATIARA, MUSTIKA SCIENTIFIC, INDONESIA, Jl. Jababeka IXB Blok, P6H Cikarang Utara -, Bekasi, Jasa Ekspor dan, Impor alat - alat, kimia, dan, laboratorium, 7., PT.CASCO PERSADA, INDONESIA, Jl. Industri Utara I Blok, SS No. 18 Cikarang Utara, - Bekasi, Jasa, Industri, Perekat Impor &, Ekspor, 8., PT CRESTEC, GARUDA GRAPHIC, INDONESIA, KI. MM2100  Blok N2, Cibitung, Cikarang Barat -, Bekasi, Jasa Film Cetak, 9., PT FIRST AND SMILE, (FNS) LOGISTIC, KI. MM2100 Blok M No., 31, Cikarang Barat -, Bekasi, Jasa, Transportasi, Barang, 10., PT.FRITTA, INDONESIA, Jl. Jababeka IV Blok T, No. 5A Cikarang, Jasa, Konsultasi, Teknik, 11., PT.GLOBAL PATNERS, LOGUSTICS, Jl. Jababeka XVIIH Blok, U-21J, Cikarang Utara -, Bekasi, Jasa, eksport, &, import, serta, pergudangan, 12., PT.GRAND DINAMIKA, Jl. Akasia I Blok A1 No. 5, Lemahabang, Jasa Furniture, , , R A H A S I A, , , R A H A S I A, 58, , 1, 2, 3, 4, 13., PT HANSE ABADI, Jl. Gunung Patuha no. 82, Lippo Cikarang Selatan -, Bekasi, Jasa Eksport dan, Import, 14., AO Transport, Lippo, Cikarang, Ds., Sukaresmi, Transportasi, 15., TIKI, Kp. Leuwemalang Ds., Sukaresmi, Jasa antar barang, 16., Rosalia Indah, Kp., Tegalgede, Ds., Pasirsari, Transportasi, dan, jasa antar barang, 17., DHL, Kp. Leuwemalang Ds., Sukaresmi, Gudang paket, 18., ONO Trans, Perum viila Mutiara Ds., Ciantra, Transportasi, 19., PT.  JAVA PRIMA, GLOBAL, , , , , , Jl. Niaga Utara Blok CC 1, - 2 Cikarang Utara –, Bekasi",Jababeka
PT.  INDOMOBIL,"FINANCE INDONESIA, , Jl. Yos Sudarso / Ruko, Cikarang Plaza Blok C 6,, Cikarang Pusat – Bekasi, Jasa asuransi, kendaraan",Bekasi
PT.  CIKARANG ASRI,"TEHNIK UTAMA, , KI. Jababeka II Blok C, No. 11G-H Cikarang, , Jasa Bengkel Las, , , 22., CV.  RAMA MIWONDI, , , Jl. Kancil V Blok C No., 53, Cikarang Baru -, Bekasi, Jasa Boga, , , 23., PT.  DAFIO SERVICE, INDUSTRY, Jl. Puspa IIIA No. 21,, Cikarang Baru - Bekasi, Jasa Boga (, Catering Service), 24., PT.  INDOCATER, , , Jl. Jababeka V Kav 4-6,, Cikarang - Bekasi, Jasa Boga, (Catering), , 25., PT.  SARIPANGAN, MULIASUTIDJA, , , Jl. Jababeka IIG Blok CC, No. 3, Cikarang Utara -, Bekasi, , Jasa Boga /, Catering, , , 26.",Jababeka
PT.  SAPTA BUANA,"(CV)., , Jl. Jabebeka IX No. 66, Cikarang Utara - Bekasi, Jasa Borongan, , , 27., PT.  MEGA UTAMA CV., , Jl.Untung Suropati Pasir, Gombong Bekasi, Jasa Catering, , , , , R A H A S I A, , , R A H A S I A, 59, , 1, 2, 3, 4, 28., PT.  RLC INDONESIA, , , KI. Jababeka XVII B, Block U - 20 Cikarang, Utara - Bekasi, Jasa Ekspor &, Impor, , , 29., PT.  TIMEXA, INTERNUSA  PT, Jl. Arief Rachman Hakim I, Cikarang, Jasa Ekspor dan, Impor, 30., PT.  CAHAYATIARA, MUSTIKA SCIENTIFIC, INDONESIA, , Jl. Jababeka IXB Blok, P6H Cikarang Utara –, Bekasi, , , Jasa Ekspor dan",Jababeka
PT.  GLOBAL,"PATNERS LOGUSTICS, , Jl. Jababeka XVIIH Blok, U-21J, Cikarang Utara -, Bekasi, Jasa eksport &, import serta, pergudangan, , 32., PT.  SYSTEM, ENGINEERING, INTEGRATOR, INDONESIA, , Jl. Industri Selatan II Blok, JJ - 3, Cikarang Utara –, Bekasi, , , Jasa Engineering &",Jababeka
PT.  ADYAWINSA,"DINAMIKA, Jl. Jababeka IV SFP Blok, V No. 81 B Cikarang, Jasa Industri, , 34., PT.  MIRAE, INTERNATIONAL, , Jl. Jababeka II Blok J,, Cikarang Utara – Bekasi, , Jasa Industri alat -, alat pengangkat, dan transpor",Jababeka
PT.  CASCO PERSADA,"INDONESIA, , Jl. Industri Utara I Blok, SS No. 18 Cikarang Utara, - Bekasi, Jasa Industri, Perekat Impor &, Ekspor, 36., PT.  TAMI UTAMA, CATERING CV, , Jl. Merak V No. 121 Blok, I1, Cikarang Baru -, Bekasi, Jasa katering / jasa, boga, , 37., PT.  LINFOX LOGISTIC",Cikarang Utara
PT.,", Jl. Jababeka II Blok C9 -, 10, Cikarang Utara –, Bekasi, Jasa Konsultan dan, Managemen, Logistik",Jababeka
PT.  SANKO GOSEI,"TECHNOLOGY, INDONESIA, , Jl. Jababeka XIIB Blokk, W No. 17 - 20 Cikarang, Utara – Bekasi, Jasa Konsultasi, manajemen, dibidang barang -, barang dari plastik",Jababeka
PT.  FRITTA,"INDONESIA, Jl. Jababeka IV Blok T, No. 5A Cikarang, Jasa Konsultasi, Teknik, 40., PT.  MURINDA IRON, STEEL, Jl. Raya Pasir Gombong, Km. 2 Cikarang Utara -, Bekasi, Jasa Kontruksi, , , 41., PT.  DECORIENT, INDONESIA, Jl. Jababeka V  Blok 46, Cikarang, Jasa Kontruksi, , , , R A H A S I A, , , R A H A S I A, 60, , 1, 2, 3, 4, 42., PT.  ASAHI GLASS, MACHINERY INDO, , , , KI.  Jababeka Blok J II, No. 1 Cikarang, , , , Jasa Kontruksi &, Pelaksanaan, Bidang Sipil,, mekanikal dan, elektronik, 43., PT.  KENINDO, KENCANA PT., , Ruko Harco Cikarang, Blok G No. 8, Cikarang, Utara - Bekasi, Jasa Kontruksi, Sipil, Mekanikal &, Elektronika, 44., PT.  CIKARANG, LISTERINDO, KI. Jababeka Blok R, Cikarang, Jasa Listrik, , 45., PT.  CATUR, MANDRARAKSA, MANDIRI, Jl. Industri Selatan I Blok, OO No. 4A Cikarang, Utara Bekasi, Jasa Mekanikal, , , 46., PT.  MITRA KARYA, MANDIRI, Jl. Puma 8 No. 65, Perumahan Cikarang, Baru - Bekasi, Jasa Pelatihan dan, Penyalur Tenaga, Kerja, 47., PT.  GOBER SETATA, PATI, Jl. Mulia Glass, tegal, Gede - Cikarang Utara -, Bekasi, Jasa pembersih, , , 48., PT.  JASA TURBO, WAHANA, Jl. Jababeka XI Blok K, No. 5H Cikarang, Jasa Pemeliharaan, Peralatan Pabrik /, Mesin, 49., PT.  PERDANA, FILTER8 INDONESIA",Jababeka
