Nama Perusahaan,Alamat,Kawasan/Kecamatan
PT.  SIMED PRAKARSA INDONESIA,"Jl. Jababeka II Blok C No. 26 Cikarang, Utara - Bekasi, 595., PT.  SUMBER ALFARIA TRIJAYA PT, Jl. Anggerk Raya Blok B1 No. 12 Rt., 20/07 Cikarang Baru - Bekasi, 596., PT.  SUMBER ALFARIA TRIJAYA PT, Jl. Industri Cikarang Baru No. 93 Rt., 03/03 Cikarang Utara Bekasi",Jababeka
PT.  SUMICON UTAMA PT.,"Ds. Sempu Pasir Gombong Cikarang, Utara - Bekasi, 598., PT.  SUPERNOVA FLEXIBLE, PACKAGING., Jababeka II Blok LL No. 1 Cikarang, 599., PT.  SWATAMA WAHANA BERSAMA, PT, KI. Jababeka Blok C No. 15C Cikarang, Utara - Bekasi, 600., PT.  TAMBUNTUA BERSAUDARA PT., Jl. Jababeka XIB Blok K10 Cikarang, Utara - Bekasi, 601., PT.  TAMI UTAMA CATERING CV, Jl. Merak V No. 121 Blok I1, Cikarang, Baru - Bekasi, 602., PT.  THERMADYNE UTAMA IND. PT., Jl. Jababeka VI Blok P No. 3 Cikarang, 603., PT.  ULTRATREND BIOTECH, INDONESIA PT, Jl. Jababeka IVD Blok V Cikarang Utara, - Bekasi, 604., PT.  VIOLA INFLASTINDO PT, Jl. Jababeka Raya Blok K No. 1E, Cikarang Utara - Bekasi, 605., PT.  VISORA CATUR DISINDO PT, Jl. Jababeka V Blok U No. 24A, Cikarang Utara - Bekasi, 606., PT.  WAHANA INSAN GEMILANG PT, Jl. Puma Blok IF/B5 no. 15, Cikarang, Baru - Bekasi, 607., PT.  WAHANA OTTOMITRA, MULTIARTHA",Jababeka
PT.  WAHANA PUTRA UTAMA,"Ruko Puspa, Jl. Puspa Raya Blok B No., 2, Cikarang Baru - Bekasi, 609., PT.  WIDAS GLOBAL, Jl. Niaga Utara Blok CC8D Kav 1-2,, Cikarang Utara - Bekasi, , , R A H A S I A, , , R A H A S I A, 137, , 1, 2, 3, 610., PT.  YAYASAN PDD. UNIV  PRESIDEN, Wisma Jababeka Lt. 2 Cikarang Bekasi, 611., PT.  YOSILINDO ANEKA COKLAT, KI. Jababeka V Blok U No. 30B, Cikarang, 612., BATIK BALI ASRINUSA, KI. Jababeka XII Blok W9 Cikarang, Utara - Bekasi, 613., BATIK CIPTA PESONA AGUNG, KI. Jababeka XII W.12 Cikarang Utara -, Bekasi, 614., BATIK ELOK WARNA SEJATI, KI.  Jababeka  XII Blok W-7 Cikarang, Utara - Bekasi, 615., BATIK INDRALOKA, Jl. Jababeka  XII Blok W No. 15, Cikarang Utara - Bekasi, 616., BATIK MANDALA CAKRA BUANA, SAKTI, Jl. Jababeka  XII Blok W No. 11, Cikarang, 617., BATIK MANDALA CAKRA SAKTI, Jl. Jababeka VII Blok W-11 Cikarang, 618., BATIK TIRTA HARUM  PENTATEX, Jl. Jababeka XII Blok W No. 14, Cikarang, 619., BPR CIKA TUNAS MULIA, KI. Jababeka  Blok  C Cikarang, 620., BPR KUMARA ABADI, JL.R.E.MARTADINATA CIKARANG, 621., PT.  (CV) CIPTA KARYA INDAH, Kp. Sempu Rt. 004/05 Desa Pasir, Gombong, Cikarang Utara - Bekasi, 622., PT.  ADHINATA KARYA, KI. Jababeka Blok K - 3D, Cikarang",Jababeka
PT.  ADHITAMA MULTINDO,"KI. Jababeka I Blok G No. 17F,, Cikarang Utara - Bekasi, 624., PT.  ADIRA DINAMIKA FINANCE, Ruko Cikarang Plaza Blok A No. 6, Cikarang Utara - Bekasi, 625., PT.  ADYABINA PUTRAMAS LESTARI, Jl. Jababeka XIIB Blok U21F Cikarang, Utara - Bekasi, 626., PT.  ADYAWINSA DINAMIKA, Jl. Jababeka IV SFP Blok V No. 81 B, Cikarang, 627., PT.  AFTECH RAND PERKASA, KI. Jababeka II Blok NN No. 3H,, Cikarang Utara - Bekasi, 628., PT.  AHARA PRIMA DESIGN, Jl. Jababeka VI Blok J - 7F, Cikarang, Utara - Bekasi, 629., PT.  AIBO, Jl. Jababeka XVIIA Blok V No. 63A,, Cikarang Utara - Bekasi, 630., PT.  ALFA RETAILINDO TBK., Jl. Industri Utama Raya / Jababeka II, Cikarang Baru - Bekasi, 631., PT.  AMIN RAKSATAMA INDUSTRI, Jl. Industri  No.14 Cikarang",Jababeka
PT.  ANEKA KIMIA INTI,"KI. Jababeka Block R No.2 D Cikarang, Utara - Bekasi, 633., PT.  ANEKA PERKASA MASINDO, Jl. Jababeka XI Blok J No. 10, Cikarang, Utara - Bekasi, 634., PT.  MULIA GLASS, Jl. Raya Tegal Gede - Cikarang Utara -, Bekasi, , , R A H A S I A, , , R A H A S I A, 138, , 1, 2, 3, 635., PT.  MULIA INDUSTRINDO, Jl. Raya Tegal  Gede, Cikarang Utara -, Bekasi, 636., PT.  MULIA KERAMIK INDAH RAYA, Jl. Raya Tegal Gede, Cikarang Utara -, Bekasi, 637., PT.  NUSA INTEGRA, KI.  Jababeka Blok U No. 9A Cikarang, 638., PT.  PELANGI CIMANDIRI TEXTILE, KI.  Jababeka VI Blok W No. 1- 2, Cikarang Utara -  Bekasi, 639., PT.  RISJAD BRASALI CHEMINDO, Jl. Jababeka V Kav H2 Cikarang, 640., PT.  RISJAD BRASALI PEROXIDA, Jl. Jababeka V Kav H2 Cikarang, 641., PT.  ROMINDO PRIMAVETCOM, Jl. Jababeka II Blok C No. 18R Cikarang, 642., PT.  SANTA PUTRA PRATAMA, JABABEKA XII BLOK W 15 Cikarang, 643., PT.  SARANA CHROME PERSADA, Jl. Jababeka XVUII E Blok U No. 25, Cikarang, 644., PT.  TRIMITRA CITRA HASTRA, Jl. Jababeka VI Blok J No. 6N Cikarang, Utara - Bekasi, 645., GAMA INTI WAHANA, Desa Cijengkol Kec. Setu, 646., BURANGKENG METAL TEKHNIK, Desa Burangkeng Kec. Setu, 647., ARGA ARTA UTAMA, Desa Ciledug Kec. Setu, 648., ALUMUNIUM WIRE INDONESIA, Desa Burangkeng Kec. Setu, 649., TOTAL TANJUNG INDAH, Desa Burangkeng Kec. Setu, 650., MARIO MIKRON, Desa Burangkeng Kec. Setu, 651., ELJIN, Desa TamansarI Kec. Setu, 652., GEARINDO PRAKARSA, Desa Tamansari Kec. Setu, 653., MAJUN, Desa Cijengkol Kec. Setu, 654., LEM, Desa Tamanrahayu Kec. Setu, 655., EMIR, Desa Burangkeg Kec. Setu, , c., PMDA, , NO, NAMA PERUSAHAAN, ALAMAT, JML KARY, WNI, WNA, 1, 2, 3, 4, 5, 1, PT. JAE HONG PILE INDAH, Bekasi International Industrial, Estate Blok C. 5 -1, Lemahabang, Bekasi, 300, 3, 2, PT. MATTEL INDONESIA, Kawasan Industri Jababeka Jl., Jababeka V Kav. 4-6, 10.000, 7, , , R A H A S I A, , , R A H A S I A, 139, , 1, 2, 3, 4, 5, 3, PT. MCCORMICK, INDONESIA, Jl. Letjend. S. parman Kav. 32-, 34 Slipi, Jakarta, 100, 2, 4, PT. O.Y.L. SENTRA, MANUFACTURING, Bekasi International Industrial, Estate (Lippo Cikarang) Blok, C2/12A JL Raya Cibarusah,, Lemah Abang Bekasi 17550, , 100",Jababeka
PT. LUCENT,"TECHNOLOGIES NETWORK, SYSTEMS INDONESIA, Graha Niaga Lantai 24 Jl., Sudirman Kav. 58 JAKARTA -, 12190, , , 6, PT. PACKARD KABELINDO, MURNI INDONESIA, Jl. Raya Industri C4 No. 1,, Lippo Cikarang, 100, 2, 7, PT. ECOLAB INDONESIA, Jl. Jababeka XII Kav. V-37, Kawasan Industri Jababeka, Cikarang, Bekasi Jawa Barat, 17530, 100, 3, 8, PT. GENERAL MOTORS, INDONESIA, Jl. Raya Bekasi Km. 27,, Pondok Ungu-Bekasi, Kel., Medan Satria, Kec. Medan, Satria, 200, 1, 9, PT. 3M INDONESIA, Perkantoran Hijau Arkadia, Tower F, Lt. 8 dan 9,~ Jl., Letjend. TB Simatupang Kav., 88,~ Kel. Kebagusan, Kec., Pasar Minggu, 300",Jababeka
PT. AVERY DENNISON,"INDONESIA, Jln.Jababeka SFB Blok V-81D,, Cikarang Industrial Estate,, Lemahabang, Bekasi 17550~~, 150, 2, 11, PT. VISION-EASE ASIA",Jababeka
PT. APTAR B&H INDONESIA,"Kws Jababeka, Jl. Jababeka IV,, Blok B-11 V, Cikarang,, 100, 2, 13, PT. LUCENT, TECHNOLOGIES NETWORK, SYSTEMS INDONESIA, Graha Niaga Lantai 24 Jl., Sudirman Kav. 58 JAKARTA -, 12190, 100, 1, 14, PT. SMURFIT CONTAINER, INDONESIA, Kawasan Industri Cikarang, Tahap II, Jl. Industri Selatan 2,, Blok LL-3, Cikarang,, 200, -, 15, PT. GM AUTOWORLD, INDONESIA, Jl.Raya Bekasi Km. 27, Pondok, Ungu, RT 007/ RW 006 Kel., Medan Satria Kec. Medan, Satria BEKASI 17132, 100, -",Jababeka
PT. VISION-EASE ASIA,"Jl. Meranti 3 Blok L8 No. 8,, Delta Silicon Industrial Park,, Lippo Cikarang,, 200, 2, 17, PT. MONDELEZ INDONESIA, TRADING, Graha Inti Fauzi Lantai 12, Jl., Buncit Raya No. 22 Kel., Pejaten Barat, Kec. Pasar, Minggu, 300, 5, 18, PT. PACKARD KABELINDO, MURNI INDONESIA, Jl. Raya Industri C4 No. 1,, Lippo Cikarang, 100, -, 19, PT. SUPERIOR COACH, Sentra Niaga Boulevard Hijau, Blok SN-02/18, Harapan Indah,, Kel. Pejuang, Kec. Medan, Satria, 100, 1",Delta Silicon
PT. SUPERIOR COACH,"Sentra Niaga Boulevard Hijau, Blok SN-02/18, Harapan Indah,, Kel. Pejuang, Kec. Medan, Satria, 100, 1",Lainnya
PT. KNORR INDONESIA,"Gedung Menara Duta Lt. IV Jl., HR. Rasuna Said Kav. B-9, 50, -, 23, PT. CHAMPION KURNIA, DJAJA TECHNOLOGIES, Menara Bank Danamon Lantai, 12, Jl. Prof. Dr. Satrio Kav. E, IV/6, Mega Kuningan, 100, -, 24, PT. MULTI COMTECH",Lainnya
PT. KIMBERLY-CLARK,"INDONESIA, Wisma GKBI Lt. 12 Suite 1201,, Jl. Jend. Sudirman No. 28,, Bendungan Hilir, Tanah Abang,, Jakarta Pusat 10210, 400, 2, 26, PT. APTAR B&H INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka IV, Blok B-11 V,, Cikarang,, 100, 1, 27, PT. GRACE SPECIALTY, CHEMICALS INDONESIA, Jl. Jababeka Raya Kav. C-32,, Cikarang Industrial Estate,, Pasir Gombong, Cikarang,, Bekasi 17530, 100, 1, 28, PT. FERRO MAS DINAMIKA, Jl. Raya Cikarang Cibarusah,, Kp. Tegal Gede, Desa Pasir, Sari, Kec. Cikarang Selatan, Bekasi 17550, 200, -, 29, PT. WEBFORGE INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka V Kav. V-9, Pasir, Gombong, Cikarang Utara,, Bekasi - 17530, 100, 2, 30, PT. TAMCO INDONESIA, Jl. Jababeka Raya Blok F No., 36,~Kawasan Industri, Jababeka Bekasi 17530, , , 100",Jababeka
PT. WEBFORGE INDONESIA,"Kawasan Industri Jababeka, Jl., Jababeka V Kav. V-9, Pasir, Gombong, Cikarang Utara,, Bekasi - 17530, 100, 2, 32, PT. TEKPAK INDONESIA, Jl. Jababeka IV C Blok T 2, D,Cikarang Industrial, Estate,Desa Pasirgombong,, Kec. Cikarang Utara, 200, 1, 33, PT. CSR PRIMAKARYA, PLASTERBOARD, Plaza Bapindo Tower I Lantai, 19,  Jl. Jenderal Sudirman Kav., 54-55,, 100, -, 34, PT. ASAHI DIAMOND, INDUSTRIAL INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka Raya Blok F No. 35,, Desa Harjamekar, Kec., Cikarang Utara, Kab. Bekasi -, 17530, 100, 3, 35, PT. BITZER INDONESIA, Jl. Jababeka VI Blok P2K, Cikarang., 100, -, 36, PT. TERALI ALUMUNIUM, PERKASA, Jl. Industri Utara I Blok WW,, No. 11 Kawasan Industri, Jababeka Tahap II, Cikarang, , , 37, PT. CIGWELD, Jln. Jababeka IX D Blok P No., 3, Kawasan Industri Jababeka,, Cikarang, Bekasi 17750, , , , , R A H A S I A, , , R A H A S I A, 141, , 1, 2, 3, 4, 5, 38, PT. KDS INDONESIA, Kawasan Industri MM2100, Industrial Town, Blok O No. 20-, 21, Cikarang Barat,, 200, 3, 39, PT. LINFOX LOGISTICS, INDONESIA, d/a. Gedung Menara DEA,, Lantai 3, Suite 302, Kawasan, Mega Kuningan, Jl. Mega, Kuningan Barat Kav. 4.3 No. 1,, Kuningan Timur, Setiabudi,",Jababeka
PT. NS BLUESCOPE,"LYSAGHT INDONESIA, Kawasan Industri MM2100,Jl., Irian Blok DD 2-2, Desa Danau, Indah, Kec. Cikarang Barat,, Bekasi 17520, 100, 2, 41, PT. TEKPAK INDONESIA, Jl. Jababeka IV C Blok T 2, D,Cikarang Industrial, Estate,Desa Pasirgombong,, Kec. Cikarang Utara, 100, 2, 42, PT. SELECTRIX INDONESIA, Kawasan Industri Jababeka-, Cikarang, Jl. Jababeka XIV, Blok J10 A Desa Harjamekar,, Kecamatan Cikarang Utara,, 100, 1, 43, PT. SCG READYMIX, INDONESIA, Jl. Buncit Raya No. 139, Graha, Mobisel Lantai 5, Pela, Mampang, Mampang Prapatan,, Jakarta Selatan, 200, 1, 44, PT. WEBFORGE INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka V Kav. V-9, Pasir, Gombong, Cikarang Utara,, 300, 3, 45, PT. WAAGNER BIRO, INDONESIA, Talavera Office Park Lantai 11,, Jln. Let. Jend. T.B. SImatupang, Kav. 22-26, 150, 2, 46, PT. CRODA INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka IV Kav. 74-75,, Cikarang Bekasi, Jawa Barat, 200, 2, 47, PT. ICI PAINTS INDONESIA, Sampoerna Strategic Square -, South Tower, 30th Floor, Jl., Jend. Sudirman Kav. 45-46, Jakarta 12930, 100, 2, 48, PT. STORK PRINTS, INDONESIA, Kawasan Industri Cikarang, Jl., Jababeka Raya Block C No. 1,, 100, 1, 49, PT. MATTEL INDONESIA, Kawasan Industri Jababeka Jl., Jababeka V Kav. 4-6, 200, -, 50, PT. MATTEL INDONESIA, Kawasan Industri Jababeka Jl., Jababeka V Kav. 4-6, 100, -, 51, PT. UNILEVER INDONESIA, TBK., Graha Unilever, Jl. Jend., Gatoto Subroto Kav. 15, 200, 2, 52, PT. UNILEVER INDONESIA, TBK., Graha Unilever, Jl. Jend., Gatoto Subroto Kav. 15, 300, 5, 53, PT. SAMUDERA COMBINED, LOGISTICS, Jl. Waru Blok F2 No. 5,, Komplek Delta Silicon II, Lippo, Cikarang, Bekasi 17555, 100, -, 54, PT. UNILEVER INDONESIA, TBK., Graha Unilever, Jl. Jend., Gatoto Subroto Kav. 15, 100, 1, 55, PT. MATTEL INDONESIA, Kawasan Industri Jababeka Jl., Jababeka V Kav. 4-6, 100, 1, 56, PT. UNILEVER INDONESIA, TBK., Graha Unilever, Jl. Jend., Gatoto Subroto Kav. 15, 100, 1, , , R A H A S I A, , , R A H A S I A, 142, , 1, 2, 3, 4, 5, 57, PT. UNILEVER INDONESIA, TBK., Graha Unilever, Jl. Jend., Gatoto Subroto Kav. 15, 50, -, 58, PT. DUTCH THERMAL, ENGINEERING INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka XVII B Blok U-19 A,, 100, -, 59, PT. CRODA INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka IV Kav. 74-75,, Cikarang Bekasi, Jawa Barat, 100, -, 60, PT. ICI PAINTS INDONESIA, Sampoerna Strategic Square -, South Tower, 30th Floor, Jl., Jend. Sudirman Kav. 45-46, Jakarta 12930, 400, 2, 61, PT. KERRY INGREDIENTS, INDONESIA, Kawasan Industri Jababeka II,, Jl. Industri Utama Blok SS-6,, Mekarmukti, Cikarang Utara,, Bekasi, 100, 1, 62, PT. TROUW NUTRITION, INDONESIA, Kawasan Industri MM2100~Jl., Selayar Blok A3-2~Desa, Mekarwangi~Kecamatan, Cikarang Barat~Bekasi 17845, 100",Jababeka
PT. PANASONIC GOBEL,"ENERGY INDONESIA, Kawasan Industri Gobel, Jl., Teuku Umar Km. 44, Telaga, Asih, Cikarang Barat, Bekasi, 200, -, 64, PT. UNILEVER INDONESIA, TBK., Graha Unilever, Jl. Jend., Gatoto Subroto Kav. 15, 100, 2, 65, PT. TROUW NUTRITION, INDONESIA, Kawasan Industri MM2100~Jl., Selayar Blok A3-2~Desa, Mekarwangi~Kecamatan, Cikarang Barat~Bekasi 17845",MM2100
PT. ICI PAINTS INDONESIA,"Sampoerna Strategic Square -, South Tower, 30th Floor, Jl., Jend. Sudirman Kav. 45-46, Jakarta 12930, 100, 2, 67, PT. TUNGALOY INDONESIA, Ruko Block AA No. 3 & 5,, Grand Wisata, Desa Lambang, Jaya, Tambun Selatan, Bekasi, 200, 1, 68, PT. NOVOMET ARTIFICIAL, LIFT INDONESIA, Wisma 46 - Kota BNI, lantai 32, dan lantai 41, Jl. Jend., Sudirman kav. 1, 100, -, 69, PT. PANASONIC GOBEL, ENERGY INDONESIA, Kawasan Industri Gobel, Jl., Teuku Umar Km. 44, Telaga, Asih, Cikarang Barat, Bekasi, 100, 3, 70, PT. PURATOS INDONESIA, Perkantoran Kota Grogol, Permai, ~Blok F No.7-8, Jl., Prof. DR. Latumeten, ~Jakarta, 100, -, 71",Cikarang Barat
PT. AVESTA CONTINENTAL,"PACK, Jl. Raya Bekasi Km. 28,5,, Bekasi, 100, 1, 72, PT. WIRA LOGITAMA, SAKSAMA, Jl. Ancol Barat VII Blok A5/D, No. 2 Jakarta Utara 14430, 100, 1, 73",Bekasi
PT. SUPERNOVA FLEXIBLE,"PACKAGING, Jl. Ancol Barat VI No. 1-2, Kel., Ancol,~Kec.Pademangan~, 200, 3, 74, PT. DJABESMEN",Lainnya
PT. TRISTAR MAKMUR,"KARTONINDO, Delta Silicon Industrial Park, Jl., Meranti 3 Blok L.8 No. 5 D-E,, Lippo Cikarang, Desa, Sukaresmi, Cikarang Selatan,, , , , , R A H A S I A, , , R A H A S I A, 143, , 1, 2, 3, 4, 5, 76, PT. SUPERNOVA FLEXIBLE, PACKAGING, Jl. Ancol Barat VI No. 1-2, Kel., Ancol,~Kec., Pademangan~14430, 100, 2, 77",Delta Silicon
PT. YAMAMURA UTAMA,"INDOPLAS, Kawasan Industri Jababeka, Jl., Jababeka XVI Blok V No. 42-, 43,Harjamekar, Cikarang Utara, 200, 2, 78, PT. WARTSILA INDONESIA, Kawasan Industri Jababeka~ Jl., Jababeka XVI Blok W 28~, Desa Harjamekar~ Cikarang, 100, 1",Jababeka
PT. WARTSILA INDONESIA,"Kawasan Industri Jababeka~ Jl., Jababeka XVI Blok W 28~, Desa Harjamekar~ Cikarang, 300, 3",Jababeka
PT. SUNRISE BUMI,"Menara Batavia Level 16 Jl. KH, Mas Mansyur Kav.106 Jakarta, 150, 2, 81, PT. NASIODELTA ELECTRIC, Jln. Ds. Pejuang Km. 2, Kel., Harapan Jaya, Bekasi, 200, 2, 82, PT. NASIODELTA ELECTRIC, Jln. Ds. Pejuang Km. 2, Kel., Harapan Jaya, Bekasi, 100, 2, 83, PT. SUNGIN TEX, Menara Kadin Indonesia Lantai, 30, Jl. H.R. Rasuna Said Blok, X-5 Kav. 2-3,, 100, 1, 84, PT. DAELIM INDONESIA, Jl. Jababeka Raya Blok E No., 6-8, Kwsan Jababeka, Cikarang, 200, -, 85, PT. HUME CONCRETE, INDONESIA, Jababeka Industrial Estate Jl., Jababeka V Blok G, Cikarang,Bekasi 17530, 100, -, 86, PT. SUNGIN TEX, Menara Kadin Indonesia Lantai, 30, Jl. H.R. Rasuna Said Blok, X-5 Kav. 2-3,, 200, 2, 87, PT. NASIODELTA ELECTRIC, Jln. Ds. Pejuang Km. 2, Kel., Harapan Jaya, Bekasi, 300, 5, 88, PT. CHANG CHUN DPN, CHEMICAL INDUSTRY, Jln. Jababeka XI Blok G18 -, G23 Cikarang Industrial Estate, 100, -, 89, PT. WALSIN LIPPO, INDUSTRIES, Jl. MH. Thamrin Blok A1-, 1,~Delta Silicon Industrial, Park~Lippo Cikarang, Desa, Sukaresmi,~Kec. Cikarang, Selatan, 100",Jababeka
PT. SUNG SHIN INDONESIA,"Jl. Raya Narogong Km. 6, RT., 007/RW. 003, Kel. Bojong, Rawalumbu, Kec. Rawalumbu, 100, 1, 91",Lainnya
PT. JAWA MANUFACTURING,"& TRADING COMPANY, Kawasan Industri MM2100, BLok I-6,, 100, 1, 92, PT. WALSIN LIPPO, INDUSTRIES, Jl. MH. Thamrin Blok A1-, 1,~Delta Silicon Industrial, Park~Lippo Cikarang, Desa, Sukaresmi,~Kec. Cikarang, Selatan, 50",MM2100
PT. BOUSTEAD MAXITHERM,"INDUSTRIES, Jl. Kebantenan Raya No. 2A,, RT 001/RW 003, Kel. Semper, Timur, Kec. Cilincing, Jakarta, Utara 14130, 100, -",Lainnya
PT. CMKS INDONESIA,"EJIP INDUSTRIAL PARK PLOT, 7E, LEMAH ABANG BEKASI, 17550, 100, -, 95, PT. HUME CONCRETE, INDONESIA, Jababeka Industrial Estate Jl., Jababeka V Blok G, Cikarang,Bekasi 17530, 400, 2, , , R A H A S I A, , , R A H A S I A, 144, , 1, 2, 3, 4, 5, 96, PT. WELLBEST, ELECTRONIC INDUSTRI, Kawasan Hyundai (Bekasi, International Industrial Estate),, Jl. Inti Raya Blok C3 No. 5, Lippo Cikarang, Desa Cibatu,, Kec. Cikarang Selatan, 100, 1, 97, PT. TSUCHIYA, MANUFACTURING, INDONESIA, Kawasan Industri MM2100,, Blok E - 8, Desa Gandamekar,, Kec. Cikarang Barat, 100, 1, 98, PT. WALSIN LIPPO, INDUSTRIES, Jl. MH. Thamrin Blok A1-, 1,~Delta Silicon Industrial, Park~Lippo Cikarang, Desa, Sukaresmi,~Kec. Cikarang, Selatan, 200",Jababeka
PT. S-IK INDONESIA,"EJIP Industrial Park, Plot 4L,, Cikarang Selatan, Bekasi, 17550, 100, 2, 100, PT. KYOSHA INDONESIA, Kawasan Industri Lippo, Cikarang, Jl. Palem II Blok DS, No. 12, ~Desa Cibatu,  Kec., Cikarang Selatan~Bekasi, 17550",EJIP
PT. CHANG CHUN DPN,"CHEMICAL INDUSTRY, Jln. Jababeka XI Blok G18 -, G23 Cikarang Industrial Estate, 100, 2, 102, PT. HIROSE ELECTRIC, INDONESIA, Kawasan Industri EJIP Plot 3B-, 1, Cikarang Selatan, Bekasi, 17550, 200, 1, 103, PT. NARUMI INDONESIA, Kawasan Industri EJIP, Industrial Park ~Plot 7L-1,, Cikarang Selatan, 100, -, 104",Jababeka
PT. FUJI PRESISI TOOL,"INDONESIA, Kawasan Industri EJIP Plot 3B-, 2, Desa Sukaresmi, Cikarang, Selatan, Bekasi 17550, 100, 3, 105, PT. ENKEI INDONESIA, Lippo City Development Blok, C.11 No. 8, Techno Village, Desa Cibatu, Cikarang Selatan,, Kab Bekasi, Jawa Barat, 100, -, 106, PT. REHAU INDONESIA, Jl. Inti II Blok C10 No. 12A,, Bekasi International Industri, Estate, Lippo Cikarang, Bekasi, 100, 1, 107, PT. ARMSTRONG INDUSTRI, INDONESIA, Bekasi International Industrial, Estate, Blok C-1 No. 3,, Lemahabang, BEKASI, 200, 2, 108, PT. NIPPISUN INDONESIA, Kawasan Industri MM2100, Jl., Sulawesi Blok I, No. I-, I,Gandamekar, Cibitung, Kab, Bekasi, Jawa Barat, 200, 3, 109, PT. ASAHI BEST BASE, INDONESIA, Kawasan Industri MM2100 Jl., Sumatera Blok C-2, Desa, Gandamekar, Cikarang Barat, , 100, , 5, 110, PT. KONG TAI INDONESIA, SHOES MANUFACTURING, Jln. Cikini Raya No. 58 M-N,, Jakarta 10330~~~~, , , 112, PT. CRESTEC INDONESIA",MM2100
PT. MESIN ISUZU,"INDONESIA, Jl. Kaliabang No. 1, Pondok, Ungu, Kelurahan Medan Satria,, Kecamatan Bekasi Barat, , , , , R A H A S I A, , , R A H A S I A, 145, , 1, 2, 3, 4, 5, 114, PT. NIDEC SANKYO, PRECISION INDONESIA, Delta Silicon Industrial Park, Jl., Meranti 3 Blok L8-6A,, Lemahabang,, 100, 2, 115, PT. KIYOKUNI INDONESIA, Kawasan Industri EJIP Plot, 3K,Cikarang, Bekasi, 300, 3, 116, PT. BANDO ELECTRONICS, INDONESIA, Blok T-9-1 M2100,~~Industrial, Town, Cibitung, 150, 2, 117",Delta Silicon
PT. SIBELCO LAUTAN,"MINERALS, Kawasan Industri Jababeka I,, ~Jl. Jababeka XVI Blok W No., 30-35, ~Desa Harjamekar, Kec., Cikarang Utara, 200, 2",Jababeka
PT. FERRO MAS DINAMIKA,"Jl. Raya Cikarang Cibarusah,, Kp. Tegal Gede, Desa Pasir, Sari, Kec. Cikarang Selatan, 100, 2, 119, PT. ENKEI INDONESIA, Lippo City Development Blok, C.11 No. 8, Techno Village, Desa Cibatu, Cikarang Selatan,, Kab Bekasi, Jawa Barat, 100, 1, 120, PT. CHIYODA INTEGRE, INDONESIA, Kawasan Industri Surya Cipta,, Blok B29-32,~ Jl. Suryanusa, B29-32, Kec Ciampel, 200, -, 121",Cikarang Selatan
PT. HUME CONCRETE,"INDONESIA, Jababeka Industrial Estate Jl., Jababeka V Blok G, Cikarang,Bekasi 17530, 100, -, 122, PT. MANADO MARINE, SPORTS, Jl. Cokroaminoto No. 22, Manado, 200, 2, 123, PT. DAELIM INDONESIA, Jl. Jababeka Raya Blok E No., 6-8, Kawasan Industri, Jababeka, Cikarang, 300, 5, 124, PT. CHANG CHUN DPN, CHEMICAL INDUSTRY, Jln. Jababeka XI Blok G18 -, G23 Cikarang Industrial Estate, 100, -, 125, PT. HOWEZEN INDAH, INDUSTRY, Ruko Vila Gading Indah Blok, A2/A3, Jl. Boulevard Bukit, Gading Raya, Kel. Kelapa, Gading Barat, Kecamatan, Kelapa Gading Jakarta Utara, 100",Jababeka
PT. FESTO,"Jl. Taman Tekno V Sektor XI, blok A/1, Kawasan Industri, BSD, Desa Setu, Kec. Setu,, Kota Tangerang Selatan, 100, 1",Lainnya
PT. SINTERTECH,"Jababeka Estate Blok J5-M,, Bekasi, 100, 1, 128, PT. UCIPRINTER INDONESIA, Kawasan Industri Jababeka Jl., Jababeka XIV Blok J 5 R SFB,, Cikarang BEKASI, 50, -, 129, PT. ASIA CELLULAR, SATELLITE, Jl. Jaksa Agung R. Suprapto,, Sekupang, Batam, 100, -, 130, PT. BOUSTEAD MAXITHERM, INDUSTRIES, Jl. Kebantenan Raya No. 2A,, RT 001/RW 003, Kel. Semper, Timur, Kec. Cilincing, Jakarta, 100, -, 131",Jababeka
PT. SAMSUNG,"ELECTRONICS INDONESIA, Kawasan Industri Jababeka, Cikarang, Jl. Jababeka Raya, Blok F 29 - 33, Desa, Harjamekar, Kec. Cikarang, Utara, 400, 2, 132, PT. NITTO MATERIALS, INDONESIA, EJIP Industrial Park Plot 8C, Blok B1-B2,~Cikarang, Bekasi, 17550, 100, 1",Jababeka
PT. SMT INDONESIA,"EJIP Industrial Park, Plot 5 C-2,, Desa Sukaresmi, Kec. Cikarang, Selatan, Kab Bekasi, Jawa, Barat, 100, 1, 134, PT. POLLUX INDONESIA, TEXTILE INDONESIA, d/a Wisma Argo Manunggal, Lt., 16 Jl. Jend. Gatot Subroto Kav., 22, 200, -",EJIP
